,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,flux_ratio_err_AV_corr,SNR1,SNR2
11,11221,28,aegis,2.071778497,0.5966040753,1.089748993,0.975309287,2.000122816,0.6628657543,9.046754089,1.924769591,6.00950743,0.9069291849,6.895391746,1.351446863,2.141466781,0.9492645501,0.6044978819,0.04264510396,0.9713775354,0.6164796792,1.009720487,0.483882495,2.147183447,0.8563193961,0.6312721139,0.2271432937,8.968376887,2.004947414,6.811186629,0.7530952515,8.437825557,1.36909526,2.5913302,1.560185707,1.924967767,2.610880546,1.649141279,2.23212273,1.560185707,2,1.138950911,1.160331902,1.089748993,0.6164796792,0.975309287,0.483882495,-24.309797150970300,0.36965,210721850225.98500,0.18743,106845925572.45000,187701730314.66300,187701730314.66300,26.63,1.0,0.4337,2.0,-1.0,21.75336937343600,20.051039157989300,19.267765625084100,18.89014971197850,18.540045969141200,21.68812128258650,19.583732304757400,18.057738787541500,17.799022268512100,20.374266835492700,18.132022228829700,-22.232234374915900,2.4856037483518800,10.98,-0.8,-11.78,8.6,764.4374856316920,1869.279608434400,3111.0874721189900,701.8827785178810,18.232312152547300,18.384330183259200,18.592548086598300,20.59078943354440,1.172128958123480,0.00554121798633984,41.50370251145050,118.0182079367410
12,16063,28,aegis,0.9455943059,0.3275747757,1.030407597,0.8135420778,0.8555987935,1.268567368,12.46261412,1.373359478,5.333480293,0.4638874753,6.758738126,0.5840135525,1.440198447,0.395994265,0.4513639943,0.0604119148,1.059491202,0.4192712138,0.8076283607,0.1632227859,0.8150839736,0.4210566466,1.263067837,0.3918342163,9.097062014,0.812168451,5.28314615,0.4936639585,13.52371814,0.8117163286,3.015484256,1.236792669,1.565634597,2.118617749,1.239931661,2.977966564,1.236792669,2,1.101791555,1.113157311,1.030407597,0.4192712138,0.8135420778,0.1632227859,-22.26999431304510,0.31829,27721754901.132700,0.18743,16324385061.168400,28677886460.22280,28677886460.22280,11.54,1.0,0.2445,1.0,0.2626,22.250004667308700,20.546033377541500,19.804556023032600,19.480624680195000,19.171371019910100,22.17402082358530,20.077562824340600,18.68121846840550,18.446680133340700,20.867924584065700,18.73332823105490,-20.40544397696740,2.445448644276030,10.14,-0.58,-10.72,8.2,1029.011130321260,1863.9571293788300,2915.4430776131200,1100.043384322880,18.680766748349000,18.807564628140600,18.956604797854800,20.490623221390000,1.128505984937730,0.010345181851077700,69.55292590009710,102.30073033543500
14,14044,30,aegis,1.585594596,0.4580233987,0.9994362409,0.8244922582,1.644501433,0.6875326139,14.18015252,3.803129771,9.357668956,2.819538307,7.19894786,3.680419598,1.955880778,0.9337172882,0.4547941087,0.07376430889,0.6603089482,0.5278439016,1.060613423,0.4968984794,1.181821075,0.8489872558,0.8008115544,0.4956983964,14.09464401,5.102884765,9.882524072,1.52618473,41.55716711,4.527391364,4.402660011,3.039719675,2.99387286,4.949696918,2.580768773,10.03266219,2.580768773,2,1.120579768,1.136544042,0.6603089482,0.5278439016,1.060613423,0.4968984794,-24.105965945482200,0.31829,150386680222.48800,0.18743,88557527644.91770,155573561483.805,155573561483.805,13.91,1.0,0.436,1.0,0.4616,21.687977368905600,20.20663409595060,19.492934922842000,19.2018027261957,18.86952537401700,21.61470007765910,19.762521471950000,18.419299759281900,18.206903775838,20.489377036991900,18.456471593517800,-22.01706507715800,2.1950424460635700,10.77,0.23,-10.54,8.6,717.671668535635,2231.579199403470,2415.4949872498000,621.6536380828870,18.576934907443200,18.716260485552700,18.895395075274900,20.73268946219230,1.147442418789730,0.010574700239834900,55.32738350532300,93.07431036952060
15,19842,1,cosmos,2.36822909,0.3139694803,1.1847044,0.6372860688,1.139105511,0.5819330274,1.953622769,0.7846637627,1.919895354,0.3429409813,2.375243,0.3191259356,2.79332555,1.037797994,0.3031984155,0.04732088596,1.288556709,0.5001742546,0.6175088806,0.1658658971,1.253045043,0.531901265,0.5958194083,0.3498140628,4.754735569,1.087248889,1.811485583,0.4562654634,4.330188089,0.3451839941,0.7196147226,0.5215120319,0.599601624,1.394736568,0.549604905,0.9905027243,0.5215120319,2,1.088208167,1.098873634,1.1847044,0.5001742546,0.6372860688,0.1658658971,-21.90607009964370,0.36965,23026013258.27840,0.18743,11675275706.747300,11675275706.747300,11675275706.747300,13.98,1.0,0.2311,3.0,-1.0,21.91220829500870,20.348484280679100,19.663967490524100,19.320036066611200,19.031289623620000,21.837318349484500,19.917939559355200,18.633427449320700,18.43911682772770,20.633182981449300,18.735619639356300,-20.41603250947590,2.248240804484540,9.96,-29.11,-39.07,7.2,836.3665288853470,1432.7639547597400,2117.0532186777800,943.7545818867630,18.63942110885330,18.727386714406800,18.85487882390400,20.257111966978900,1.105427735171820,0.01748146158218730,66.45486962279100,86.88828808410030
16,20236,1,cosmos,2.429206684,0.4409069061,1.542665644,0.6935792004,2.550000329,0.4115254187,3.799277241,1.267665998,2.269106043,1.230458412,2.303284329,0.8632489015,3.04391373,1.115269201,0.4264125996,0.05412021864,1.612751424,0.8463247362,0.6789667827,0.3820828954,2.733721815,1.20105871,0.3613951134,0.2651795162,6.490495648,1.80984335,2.184101335,1.2771267,3.952274844,0.9964684696,1.2874488,0.9741930597,0.8215887222,2.045131419,0.9779250566,1.1995519,0.8215887222,3,1.095754914,1.110737206,2.550000329,1.20105871,0.4115254187,0.2651795162,-21.621162540628300,0.6682,32016325566.51400,0.39832,19085218197.626200,19085218197.626200,19085218197.626200,13.48,1.0,0.2254,3.0,-1.0,22.073949636771500,20.59303922078930,19.85126185442140,19.494821851103500,19.19501545826220,22.004230345556500,20.14555825355550,18.77403615887750,18.55655202406650,20.876896579441400,18.837993967771700,-20.178738145578600,2.2226877823501000,10.09,-0.63,-10.72,8.8,578.4581281127870,855.0520554150470,1267.4618064728100,624.6179437776000,18.77028071989600,18.86999769760910,18.988732027225300,20.50800167241150,1.1089625387930800,0.014521303613185500,54.658931581015600,72.68228598958980
17,20423,1,cosmos,1.690703878,0.4094861503,1.025163285,0.7650674975,2.34999838,0.3553690435,3.47941589,0.508135363,2.733456682,0.4528389697,3.154816456,0.6352938895,2.037989355,0.7743302614,0.3910540466,0.07965577646,1.122637819,0.4352153891,0.7433301608,0.1724879592,2.741934058,1.071585328,0.2830729363,0.2245848683,3.451999226,0.66677404,2.768443434,0.4676655964,4.808166535,0.8924333614,0.8959683191,0.7271425156,0.8880817688,0.9594385707,0.7403656463,1.320629497,0.7271425156,2,1.11298222,1.127114718,1.025163285,0.4352153891,0.7650674975,0.1724879592,-22.719229367373800,0.31829,41929022832.56460,0.18743,24690554995.46820,43375167281.75280,43375167281.75280,10.41,1.0,0.354,1.0,0.354,22.45157567976030,20.827940704302900,20.070129716475700,19.71745754075510,19.42086099005930,22.38871919462840,20.349328715264200,18.9759152131338,18.75140436483340,21.140261167147900,19.081372573026200,-20.979870283524300,2.3814459632845800,10.39,-14.41,-24.8,7.8,610.2316455388310,1202.375969940400,1710.0741251020300,524.4343249436650,19.08011868457960,19.20785981561760,19.354510447553200,21.116966910170500,1.1378241948322400,0.01429301896287920,48.411522468691100,63.088573787309500
20,21548,1,cosmos,1.695955222,0.09043631027,1.25936228,0.396524045,1.392218054,0.4842091985,1.756555647,0.1593543957,1.430891717,0.1984829347,1.110963038,0.1772181319,2.191439699,0.7619199811,0.1019392939,0.06708015834,1.443515693,0.5899537506,0.3539524792,0.2186770965,1.566576132,0.6496722425,0.3195978473,0.3545074635,1.687214524,0.3104661229,1.276679502,0.3395487496,1.603496864,0.4522986204,0.4101830143,0.3639154432,0.2925718595,0.4622485223,0.3951447041,0.5074985191,0.2925718595,3,1.105029712,1.108138297,1.392218054,0.6496722425,0.4842091985,0.3545074635,-19.714800070083500,0.36965,3059924694.837830,0.31652,2620120017.3409100,3712877918.3404500,3712877918.3404500,8.52,1.0,0.2196,2.0,-1.0,23.579930071196500,22.123400515308300,21.427724196147500,21.11773353282700,20.877434827994100,23.5019931831646,21.702115088869600,20.552412840074000,20.380018595084000,22.398879862226900,20.650956418016500,-18.54227580385250,2.1522058750489800,9.33,-1.21,-10.54,8.6,213.0101899627640,359.9311496332590,527.7737071100690,329.73271726582200,20.540071240241300,20.62609997033060,20.728080144859000,22.022121698617400,1.117000079894470,0.02204483652839450,49.6955939901534,22.463654770995900
21,21739,1,cosmos,2.094238627,0.3176701321,1.083578885,0.7024625158,2.875000277,0.1939882132,2.052005304,0.8344429352,1.833746536,0.4543703415,2.512166974,0.8974997729,2.576366074,0.9401447529,0.3233466007,0.06676174601,1.353217635,0.4541434923,0.6178752212,0.1702845486,3.118518717,1.212593103,0.162640408,0.1595242334,1.705663747,1.244252784,1.68244881,0.7549929786,3.703775454,1.268679291,0.7603049325,0.553105598,0.8770013955,0.8707687367,0.6540928094,1.26934418,0.553105598,2,1.089601111,1.099884992,1.083578885,0.4541434923,0.7024625158,0.1702845486,-22.6576961680102,0.31829,39618813156.16860,0.18743,23330152219.23620,40985277787.55320,40985277787.55320,8.28,1.0,0.4492,2.0,-1.0,22.79584519201040,21.20005614058280,20.468247913927600,20.129613350435200,19.829136387688200,22.73050185608940,20.750596410238400,19.427812628839500,19.19308769488550,21.49392093270330,19.6095815351898,-21.111752086072400,2.3275972780827800,10.41,-3.15,-13.57,8.4,551.7841053151390,908.1860196875220,1257.162352827840,353.5725895621510,19.58053293005750,19.74653632626010,19.89514816325210,21.79560587949150,1.111192579142930,0.01464213958612280,41.66261394842420,49.203163627576700
22,21966,1,cosmos,2.668241899,0.2916532553,1.308388113,0.5749432653,1.950027857,0.4037825587,2.783055882,0.5789650176,3.300015859,0.2539410388,3.901551076,0.1768109766,3.505483951,1.155122306,0.2501701696,0.060037854,1.556183313,0.5321839328,0.5220354898,0.1446456847,2.010740177,0.8536294311,0.35958823,0.2710670669,3.753557452,0.850730266,3.318852239,0.4940820313,4.829935375,0.1829643702,0.7914681585,0.7509016513,0.8342570508,1.097766431,0.8586966651,1.017194274,0.7509016513,2,1.087830529,1.097789991,1.308388113,0.5321839328,0.5749432653,0.1446456847,-21.71710964470880,0.5062800000000000,26499313878.74910,0.31652,16567043590.309100,23476562108.42910,23476562108.42910,12.65,1.0,0.2225,1.0,0.2225,22.04005406066610,20.480981488871700,19.77187048549910,19.432656461416700,19.14859724801960,21.96891169651970,20.039521377202700,18.76311817795270,18.561998624586300,20.772145913379100,18.846643927891300,-20.22812951450090,2.2681835751670100,10.01,-2.48,-12.49,8.4,595.0119932049550,1317.1166472398500,1806.955337926150,838.3451169640350,18.756914402686400,18.838693418904300,18.96638426803260,20.383774495528300,1.1059358836536800,0.01406871289993840,39.70764082748120,78.85769235426970
23,22611,1,cosmos,2.388569605,0.2376960601,1.188862065,0.5597646118,1.356052187,0.6630212399,2.529265476,0.4329675023,2.337949094,0.2347303462,3.424924494,0.2225577163,2.727650085,1.122868997,0.225898314,0.08470501944,1.243248483,0.5733307686,0.5446319857,0.2328398104,1.441267207,0.6804475696,0.5082302679,0.4033676757,4.028477469,0.5387262636,2.3692618,0.2509172804,3.691134399,0.2025676587,0.6788764493,0.5557618281,0.7615463351,1.015848003,0.568861451,0.8045688635,0.5557618281,2,1.089728116,1.097864293,1.188862065,0.5733307686,0.5597646118,0.2328398104,-21.31817824156890,0.36965,13398679757.846500,0.18743,6793763146.255040,11934952980.82630,11934952980.82630,9.72,1.0,0.2272,3.0,-1.0,22.403757578623600,20.856215448293300,20.169389049029200,19.83335605671820,19.54839524317540,22.324572733337000,20.42915116362180,19.176159548403300,18.995960221947900,21.136218848139100,19.282624460531100,-19.880610950970800,2.234368529594440,9.81,-1.09,-10.9,8.4,599.2546200646800,1173.9230668285500,1685.6274621230400,763.5438106266230,19.171613995452100,19.255091252352800,19.392362070100700,20.782296905608900,1.1063680363365100,0.019630516227545000,33.435978248891200,64.81097044829220
