,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_chi2,min_2,alt_model,model,model_new,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,flux_ratio_err_AV_corr,SNR1,SNR2
11,11221,28,aegis,2.585993513,0.6180865632,1.212838772,0.9418193798,2.200001331,0.6073230069,12.79338476,2.469743585,8.119140607,1.167297211,7.94412027,1.4148425690000000,3.421396638,1.000539678,0.5854035573000000,0.05480195263000000,1.386323217,0.4580231962,0.8936400096000000,0.1394738907,1.825889991,1.188229953,0.7776076592,0.470945486,14.2734727,3.180574128,7.701068234,1.667762595,14.39038445,1.4157914930000000,3.5551600060000000,2.082732161,2.156096007,4.150808344,2.218580547,3.408209292,2.082732161,2.156096007,3,2,0,1.138950911,1.1611092440000000,1.212838772,0.4580231962,0.9418193798,0.1394738907,-24.309797150970300,0.36965,210721850225.98500,0.18743,106845925572.45000,187701730314.66300,187701730314.66300,26.63,1.0,0.4337,2.0,-1.0,21.75336937343600,20.051039157989300,19.267765625084100,18.89014971197850,18.540045969141200,21.68812128258650,19.583732304757400,18.057738787541500,17.799022268512100,20.374266835492700,18.132022228829700,-22.232234374915900,2.4856037483518800,10.98,-0.8,-11.78,8.6,764.4374856316920,1869.279608434400,3111.0874721189900,701.8827785178810,18.232312152547300,18.384330183259200,18.592548086598300,20.59078943354440,1.172128958123480,0.00554121798633984,41.50370251145050,118.0182079367410
12,16063,28,aegis,0.9514156379,0.327656276,1.13432619,0.7933225441000000,0.9047884931,1.2257957310000000,21.585705800000000,1.3730733870000000,5.937364443,0.5837285928,7.669304125,0.5965382311,1.647332463,0.2844598655,0.467426429,0.03286016808,1.0790272440000000,0.4886412068,0.8090742514,0.2130738877,1.026029357,0.4619973186,0.890516247,0.4024597945,11.68240047,0.9280543707,6.245475756,0.5146996178000000,33.77429762,1.536634761,4.786834305,1.4060209890000000,1.7478748730000000,2.670879301,1.43591392,7.224479772,1.4060209890000000,1.43591392,2,2,2,1.101791555,1.113160153,1.13432619,0.4886412068,0.7933225441000000,0.2130738877,-22.26999431304510,0.31829,27721754901.132700,0.18743,16324385061.168400,28677886460.22280,28677886460.22280,11.54,1.0,0.2445,1.0,0.2626,22.250004667308700,20.546033377541500,19.804556023032600,19.480624680195000,19.171371019910100,22.17402082358530,20.077562824340600,18.68121846840550,18.446680133340700,20.867924584065700,18.73332823105490,-20.40544397696740,2.445448644276030,10.14,-0.58,-10.72,8.2,1029.011130321260,1863.9571293788300,2915.4430776131200,1100.043384322880,18.680766748349000,18.807564628140600,18.956604797854800,20.490623221390000,1.128505984937730,0.010345181851077700,69.55292590009710,102.30073033543500
14,14044,30,aegis,2.884015499,0.4563495612,1.101204253,0.7962966401,1.644534455,0.686500828,12.20223944,6.002479778,13.1063172,3.1477861710000000,12.88039108,3.669669075,4.019393448,1.119851965,0.3824697537,0.06953879385,0.6806001255000000,0.6673372801000000,1.052437539,0.563701251,1.83644301,0.7963782605000000,0.5794822662,0.3865667176,11.64690482,6.8165768610000000,14.88220061,1.674723047,13.63537693,4.0767819260000000,4.972350306,3.909957665,4.092403739,5.217552635,3.615993591,4.415547969,3.615993591,3.909957665,2,2,2,1.120579768,1.136485288,0.6806001255000000,0.6673372801000000,1.052437539,0.563701251,-24.105965945482200,0.31829,150386680222.48800,0.18743,88557527644.91770,155573561483.805,155573561483.805,13.91,1.0,0.436,1.0,0.4616,21.687977368905600,20.20663409595060,19.492934922842000,19.2018027261957,18.86952537401700,21.61470007765910,19.762521471950000,18.419299759281900,18.206903775838,20.489377036991900,18.456471593517800,-22.01706507715800,2.1950424460635700,10.77,0.23,-10.54,8.6,717.671668535635,2231.579199403470,2415.4949872498000,621.6536380828870,18.576934907443200,18.716260485552700,18.895395075274900,20.73268946219230,1.147442418789730,0.010574700239834900,55.32738350532300,93.07431036952060
15,19842,1,cosmos,2.550475492,0.3247562649,1.244743208,0.626255005,1.244914397,0.561689739,2.54219467,0.9037674091,2.017711872,0.4038696365,2.113120832,0.32517795850000000,3.202394149,1.03647921,0.2996946254,0.05337694401,1.30282233,0.648406229,0.6142379314,0.3277406091,1.190441583,0.6066781198,0.6535288038,0.3973274338,5.727960179,1.293601395,1.913528134,0.4746658539,31.45082506,0.7669183509,0.8855499849000000,0.5669273238,0.5513285836,1.673197262,0.5773983467,6.439531497000000,0.5513285836,0.5669273238,2,3,0,1.088208167,1.099241917,1.244914397,0.6066781198,0.561689739,0.3973274338,-21.90607009964370,0.36965,23026013258.27840,0.18743,11675275706.747300,11675275706.747300,11675275706.747300,13.98,1.0,0.2311,3.0,-1.0,21.91220829500870,20.348484280679100,19.663967490524100,19.320036066611200,19.031289623620000,21.837318349484500,19.917939559355200,18.633427449320700,18.43911682772770,20.633182981449300,18.735619639356300,-20.41603250947590,2.248240804484540,9.96,-29.11,-39.07,7.2,836.3665288853470,1432.7639547597400,2117.0532186777800,943.7545818867630,18.63942110885330,18.727386714406800,18.85487882390400,20.257111966978900,1.105427735171820,0.01748146158218730,66.45486962279100,86.88828808410030
16,20236,1,cosmos,2.631339294,0.4533467666,1.636769316,0.6713444447,2.450021647,0.4291565084,3.859677006,1.437820286,1.5689893030000000,1.289989762,2.159794966,0.8921935626,3.454905751,1.172185908,0.4120350809,0.05997665288,2.018896447,0.6669620601,0.586203699,0.14526956360000000,2.640425054,1.21090027,0.3731896317,0.3026100982,4.861871002,1.868239837,1.240961517,1.575665852,2.329586044,1.017067536,1.372964546,0.8640639115000000,0.8062786012000000,1.754217339,0.9242530164,0.8933995087000000,0.8062786012000000,0.8640639115000000,2,3,0,1.095754914,1.111162884,2.450021647,1.21090027,0.4291565084,0.3026100982,-21.621162540628300,0.6682,32016325566.51400,0.39832,19085218197.626200,19085218197.626200,19085218197.626200,13.48,1.0,0.2254,3.0,-1.0,22.073949636771500,20.59303922078930,19.85126185442140,19.494821851103500,19.19501545826220,22.004230345556500,20.14555825355550,18.77403615887750,18.55655202406650,20.876896579441400,18.837993967771700,-20.178738145578600,2.2226877823501000,10.09,-0.63,-10.72,8.8,578.4581281127870,855.0520554150470,1267.4618064728100,624.6179437776000,18.77028071989600,18.86999769760910,18.988732027225300,20.50800167241150,1.1089625387930800,0.014521303613185500,54.658931581015600,72.68228598958980
17,20423,1,cosmos,2.274164257,0.3881464309,1.084837533,0.7506019404000000,2.350005837,0.3826982854,4.055383804,0.8243889759,2.443674709,0.4614615731,2.769251284,0.5791165091,2.276245166,1.379988129,0.3978673001,0.3036460385,1.038311763,0.608664602,0.7636347205000000,0.4055602738,2.709887138,1.051081359,0.2996552843,0.2057341252,4.16454296,0.818374195,2.493278929,0.4478444479,4.132195834,0.8561573524000000,1.144950553,0.674613375,0.7888533485,1.163538188,0.6783401777,1.17364191,0.674613375,0.6783401777,2,2,2,1.11298222,1.126373804,1.084837533,0.608664602,0.7506019404000000,0.4055602738,-22.719229367373800,0.31829,41929022832.56460,0.18743,24690554995.46820,43375167281.75280,43375167281.75280,10.41,1.0,0.354,1.0,0.354,22.45157567976030,20.827940704302900,20.070129716475700,19.71745754075510,19.42086099005930,22.38871919462840,20.349328715264200,18.9759152131338,18.75140436483340,21.140261167147900,19.081372573026200,-20.979870283524300,2.3814459632845800,10.39,-14.41,-24.8,7.8,610.2316455388310,1202.375969940400,1710.0741251020300,524.4343249436650,19.08011868457960,19.20785981561760,19.354510447553200,21.116966910170500,1.1378241948322400,0.01429301896287920,48.411522468691100,63.088573787309500
20,21548,1,cosmos,2.218871545,0.07315484781,1.266362421,0.3957564881,1.278104766,0.4616771166,1.535710295,0.3148175753,1.01570599,0.200659334,1.148292035,0.17846820290000000,2.627608605,1.018835652,0.09180782264,0.0574184914,1.5728034520000000,0.6043315043,0.3281524771,0.2103551568,1.491370546,0.6046930434000000,0.3455058849,0.35821340700000000,1.248998564,0.5037752355000000,0.8023977295,0.4227359576,1.160874114,0.1868936451,0.4347172385,0.2842406541,0.3003623032,0.4609868011,0.3391254007,0.3064591298,0.2842406541,0.3003623032,3,2,0,1.105029712,1.1075436,1.266362421,0.6043315043,0.3957564881,0.2103551568,-19.714800070083500,0.36965,3059924694.837830,0.31652,2620120017.3409100,3712877918.3404500,3712877918.3404500,8.52,1.0,0.2196,2.0,-1.0,23.579930071196500,22.123400515308300,21.427724196147500,21.11773353282700,20.877434827994100,23.5019931831646,21.702115088869600,20.552412840074000,20.380018595084000,22.398879862226900,20.650956418016500,-18.54227580385250,2.1522058750489800,9.33,-1.21,-10.54,8.6,213.0101899627640,359.9311496332590,527.7737071100690,329.73271726582200,20.540071240241300,20.62609997033060,20.728080144859000,22.022121698617400,1.117000079894470,0.02204483652839450,49.6955939901534,22.463654770995900
21,21739,1,cosmos,2.26630655,0.3241612211,1.136222167,0.6872777032000000,2.875000673,0.1942191203,2.5946229730000000,0.9770780025,2.228696464,0.4954181159,4.208677441,0.8977517447,2.7632818360000000,0.9951614409,0.3195172992,0.06764116385000000,1.325064955,0.5343985411,0.6239331141,0.2169975463,3.213893689,1.193655392,0.1604709775,0.1632481247,2.580006614,1.425570426,2.063701677,0.7092657495,4.470747347,1.118869594,0.9275214754,0.647595327,1.206530172,1.11917269,0.708292818,1.353305585,0.647595327,0.708292818,2,2,2,1.089601111,1.100096142,1.136222167,0.5343985411,0.6872777032000000,0.2169975463,-22.6576961680102,0.31829,39618813156.16860,0.18743,23330152219.23620,40985277787.55320,40985277787.55320,8.28,1.0,0.4492,2.0,-1.0,22.79584519201040,21.20005614058280,20.468247913927600,20.129613350435200,19.829136387688200,22.73050185608940,20.750596410238400,19.427812628839500,19.19308769488550,21.49392093270330,19.6095815351898,-21.111752086072400,2.3275972780827800,10.41,-3.15,-13.57,8.4,551.7841053151390,908.1860196875220,1257.162352827840,353.5725895621510,19.58053293005750,19.74653632626010,19.89514816325210,21.79560587949150,1.111192579142930,0.01464213958612280,41.66261394842420,49.203163627576700
22,21966,1,cosmos,2.750637376,0.2971322101,1.37225605,0.5637535726,2.200003271,0.2927321668,2.943838991,0.6265514545,3.430141615,0.3127859214,3.825691313,0.1931346604,3.622405222,1.07869654,0.2503346459,0.06198705902000000,1.406474586,0.7123279894,0.5580857901,0.3234586936,2.303530894,0.9276004835,0.2870729092,0.2104860196,3.368355997,0.8652735016000000,3.36088458,0.3508712699,4.308453619,0.1914770424,0.8433241020000000,0.8016869508,0.8266057873,1.029276725,0.8047547454,0.9196272125,0.8016869508,0.8047547454,2,2,2,1.087830529,1.097977961,1.37225605,0.7123279894,0.5637535726,0.3234586936,-21.71710964470880,0.5062800000000000,26499313878.74910,0.31652,16567043590.309100,23476562108.42910,23476562108.42910,12.65,1.0,0.2225,1.0,0.2225,22.04005406066610,20.480981488871700,19.77187048549910,19.432656461416700,19.14859724801960,21.96891169651970,20.039521377202700,18.76311817795270,18.561998624586300,20.772145913379100,18.846643927891300,-20.22812951450090,2.2681835751670100,10.01,-2.48,-12.49,8.4,595.0119932049550,1317.1166472398500,1806.955337926150,838.3451169640350,18.756914402686400,18.838693418904300,18.96638426803260,20.383774495528300,1.1059358836536800,0.01406871289993840,39.70764082748120,78.85769235426970
23,22611,1,cosmos,2.500314135,0.2442864694,1.237577388,0.5508027021,1.356054226,0.6625839011,2.85957488,0.4718772509,1.913627903,0.25176376570000000,3.525685088,0.2218434202,2.952648872,1.127220986,0.2196003263,0.06456276514000000,1.28978419,0.6354544664,0.5406709753,0.3391190161,1.325037008,0.7019313454,0.5372236128,0.4294526229,6.859071449,0.6758395499,1.882019178,0.2791987292,19.28018068,0.6199122555,0.7598874625,0.480755929,0.7808017436,1.624937263,0.4865155213,4.012550186,0.480755929,0.4865155213,2,2,2,1.089728116,1.098090743,1.237577388,0.6354544664,0.5508027021,0.3391190161,-21.31817824156890,0.36965,13398679757.846500,0.18743,6793763146.255040,11934952980.82630,11934952980.82630,9.72,1.0,0.2272,3.0,-1.0,22.403757578623600,20.856215448293300,20.169389049029200,19.83335605671820,19.54839524317540,22.324572733337000,20.42915116362180,19.176159548403300,18.995960221947900,21.136218848139100,19.282624460531100,-19.880610950970800,2.234368529594440,9.81,-1.09,-10.9,8.4,599.2546200646800,1173.9230668285500,1685.6274621230400,763.5438106266230,19.171613995452100,19.255091252352800,19.392362070100700,20.782296905608900,1.1063680363365100,0.019630516227545000,33.435978248891200,64.81097044829220
