,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,min_spec_chi2,model_spec,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,SNR1,SNR2,EW_AV_corr,EW_AV_corr_2,EW_err_AV_corr,model_EW,model_EW_unattenuated,model_EW_smoothed,model_EW_smoothed_unattenuated,fig_name,FWHM,flux_ratio_err_AV_corr,ratio_err
0,26380,1,aegis,2.680621363,0.4187315595,1.0731159540000001,0.7517556203,1.208604831,0.6280617842,14.4515701,2.093738766,15.24253781,0.9544739584,12.59579885,0.8510140920999999,3.387580625,1.2323474429999999,0.3775348018,0.06453334052,1.034472917,0.6309493717,0.7669133072,0.4828924968,0.9123876468000001,0.6328542388,1.14278708,0.44081528049999996,15.96081966,2.11615743,15.24688494,0.997405559,19.36767601,2.7370390419999997,3.714082748,3.373624995,2.81482959,4.016862798,3.393086443,4.9476344480000005,2.81482959,3,12.5958,3,1.099384731,1.114002854,1.208604831,0.6328542388,0.6280617842,0.44081528049999996,-21.604423342950398,0.31829,15017316413.2275,0.18742999999999999,8843179538.56934,15535268116.0233,15535268116.0233,6.546,1.0,0.264,2.0,-1.0,22.873303252848896,21.2702901649025,20.553543911377,20.2103730455182,19.873692945738497,22.7962316559512,20.829869635191,19.484197115336197,19.1915654765995,21.5645318773564,19.5168614405496,-19.826456088623,2.31975934147185,9.74,-99.0,-99.0,7.0,309.503181472679,1170.73670601356,1428.9787433864801,565.863207483631,19.5535532264454,19.657425369515604,19.7909165246374,21.313505913791897,45.8791637262959,54.5202411332471,-4.435087048099703,-4.34748753470893,-1,4.551464806253234,4.683605131367463,2.969985146954199,3.1204528590982985,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_1_26380_2D_EW.pdf,4.93,1.234570664551323,1.234570664551323
1,14044,2,aegis,0.5999999948,0.5118285328,0.9976939066,0.8260331268000001,1.608101456,0.7042503067,7.817164895,1.246790801,5.7333273479999995,2.8358036189999996,4.977061021,3.6869701339999996,0.36330700130000004,0.278198086,0.7736279224,0.4474107157,0.6467999449,0.5052850339,1.078675105,0.41614261350000004,1.757464305,0.7345310009,0.6151992061,0.3627727524,6.991757692999999,3.832452076,6.324253089,1.539867289,7.5656638439999995,3.4966333310000004,2.0585686030000003,2.343017498,2.565279171,3.0195708480000003,1.895775828,2.985380685,1.895775828,2,4.9771,3,1.099384731,1.114002854,0.6467999449,0.5052850339,1.078675105,0.41614261350000004,-23.8518607306822,0.31829,119005569362.648,0.18742999999999999,70078274107.3898,123110106791.138,123110106791.138,9.935,1.0,0.436,1.0,0.4616,21.687977368905603,20.2066340959506,19.492934922842,19.2018027261957,18.869525374017,21.6147000776591,19.76252147195,18.4192997592819,18.206903775838,20.4893770369919,18.4564715935178,-22.017065077157998,2.19504244606357,10.77,0.23,-10.54,8.6,717.671668535635,2231.57919940347,2415.4949872498,621.6536380828869,18.5769349074432,18.7162604855527,18.895395075274898,20.7326894621923,79.0817869643343,97.7495392197454,-1.1104911075895896,-1.0667073329617947,-1,2.6643228100301535,2.811109981804025,1.6425640696282087,1.806260398366182,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_2_14044_2D_EW.pdf,5.85,0.7470112049402876,0.7470112049402876
2,19820,3,aegis,2.598997666,0.6730179072,1.0225575470000001,1.044543604,1.414390349,1.037262257,8.809732687,2.549450436,8.671134073,0.7304608993,8.851143212,1.142712486,3.3940660030000003,1.1428238720000001,0.6417678962,0.05952344505,0.8854962378,0.5131656169,1.136515591,0.3498113256,1.523541375,0.7322297167,0.9253795113,0.41097858049999997,9.848948423,3.067615933,8.990165939,0.5501103804999999,16.24745249,1.033626339,2.816200315,2.000480705,2.214207391,3.242692943,1.984219395,3.603078594,1.984219395,2,8.6711,2,1.09873283,1.121921212,0.8854962378,0.5131656169,1.136515591,0.3498113256,-24.1205775783313,0.31829,152424235536.051,0.18742999999999999,89757373673.449,157681392685.228,157681392685.228,8.046,1.0,0.4197,2.0,-1.0,21.9599219077002,20.291476747832302,19.476540915010702,19.0830930297831,18.743631786301698,21.8907186441174,19.8092820362577,18.260781519290898,17.9702049584117,20.6103966752696,18.312521246668698,-21.9534590849893,2.4833809926895403,10.69,-0.72,-11.41,8.2,961.333475849893,1998.22160942396,2748.0837117126903,754.970422869517,18.448836369340103,18.6136417321161,18.8261514704774,20.8114421096245,94.0328635885119,115.48531790000601,-2.7231325234623904,-2.72313645697369,-1,11.203415571667962,11.484519277143917,5.138816318006211,5.379170230961983,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_3_19820_2D_EW.pdf,7.82,0.5897435152669198,0.5897435152669198
3,26829,3,aegis,1.235837542,0.1310486223,0.9842859848000001,0.5489962452,1.208585531,0.3870203739,3.327690125,0.43807623100000004,2.996918968,0.6142544979,2.808246089,0.4304860546,1.4966075230000002,0.5395803356000001,0.17307371030000002,0.09135722874,1.031422426,0.4804659631,0.5887024622,0.2844646083,1.4226017880000001,0.541680904,0.4632099462,0.324299161,3.529193203,0.8119160064000001,2.5547034109999998,1.1186659140000001,4.275721068,0.6595471856,0.8361257687,0.848298302,0.7319713590000001,1.037368701,0.9811698923000001,1.116250624,0.7319713590000001,3,2.5547,2,1.132149568,1.1368070479999999,1.208585531,0.541680904,0.3870203739,0.324299161,-20.9050286457398,0.36965,9158032255.64257,0.18742999999999999,4643554675.16593,4643554675.16593,4643554675.16593,5.178,1.0,0.3996,3.0,-1.0,23.8092689762741,22.337713732017303,21.664554478843602,21.355253645379698,21.0956429836591,23.7340892409848,21.9420651757309,20.7433572419328,20.5068207581528,22.5964081078408,20.8030828339602,-19.6554455211564,2.14471449743042,9.59,-99.0,-99.0,7.0,200.840172814421,310.984441684332,453.6753054284449,171.569015061279,20.8781464074659,20.995919183787397,21.1338034375082,22.716961802821103,26.2408765183188,22.634044464406,-3.013093930006188,-3.091099187797142,-1,11.556646035674357,11.710929036564922,7.8640047698906415,8.01313985202574,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_3_26829_2D_EW.pdf,6.19,2.9777984087485136,2.9777984087485136
4,37275,11,aegis,2.668501211,0.4196539227,1.231177548,0.7270250382,2.000001518,0.4727481869,2.731612008,1.128758933,3.148202284,0.7348757593,2.262268415,0.746019093,3.283911394,1.215625742,0.38174101969999996,0.07564960719,1.596734632,0.6020908264,0.6280882887,0.2016228662,2.310543711,0.9727596262,0.4161193261,0.3328554616,3.393559479,1.233209646,3.0536512869999997,1.108043262,2.420217079,0.8388609607999999,1.019897927,0.9299812752,0.7627876029999999,1.193726609,1.073446447,0.8337182472,0.7627876029999999,3,2.2623,3,1.084933568,1.09903805,2.000001518,0.9727596262,0.4727481869,0.3328554616,-21.410990730097698,0.57182,22576448973.5764,0.39832,15726366960.1535,15726366960.1535,15726366960.1535,6.819,1.0,0.304,2.0,-1.0,23.244466662750803,21.5774615811684,20.8213944363728,20.457579870118398,20.126557921952,23.170593073968302,21.111901019016,19.728562073295898,19.4445489402073,21.8894680597195,19.7616581050023,-19.8786055636273,2.42307222637809,9.95,-4.87,-14.83,8.2,267.950402406871,707.549557873643,1075.02764194719,364.528743466446,19.8445936806243,19.9259897097896,20.089762191085104,21.7420719774615,26.460759636886703,39.302473803853005,-3.280874495248913,-3.2993988445852254,-1,2.2940621785961124,2.3935162111844543,1.863173895815057,1.9776157445223137,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_11_37275_2D_EW.pdf,4.6,1.798398026033731,1.798398026033731
5,21300,14,aegis,2.83934263,0.3705184251,1.6099134259999999,0.5827892705,1.2781008440000001,0.7177223362999999,4.960509085,1.858476877,4.362467194,1.745939678,3.9688619039999997,1.01447457,4.050544969,1.061148134,0.29781829120000003,0.06235186337,1.753634299,0.6049565668,0.5473530725,0.2533358099,1.644594932,0.49302299920000003,0.5766574845,0.2331289498,5.058689826,2.121362343,4.251176227,1.849792132,9.798583544,1.05653892,1.769136644,1.604210097,1.210581058,1.902201501,1.6276359569999999,2.360807104,1.210581058,3,3.9689,3,1.094843885,1.1075775840000002,1.2781008440000001,0.49302299920000003,0.7177223362999999,0.2331289498,-21.991683248596896,0.36965,24915178903.5854,0.31651999999999997,21334106388.6456,21334106388.6456,21334106388.6456,5.645,1.0,0.2161,3.0,-1.0,21.791045949942102,20.2723696014647,19.5984235663428,19.303327451047398,19.0079809228887,21.710955671340102,19.8554735220729,18.5892552947123,18.368216822929302,20.557718825335698,18.649614450603103,-20.3315764336572,2.19262238359926,10.0,-0.9,-10.9,8.4,987.9808929293021,2549.0739559102,3171.30553613887,1800.8681977690799,18.555607771716602,18.666324858798898,18.790645311402198,20.170387999752396,86.40808320350371,117.28521700578199,5.792896187249718,5.775674724656758,-1,4.265004360669408,4.414676005452417,3.328406344286886,3.4854889634233173,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_14_21300_2D_EW.pdf,5.41,0.6154027829657923,0.6154027829657923
6,10415,15,aegis,2.225592861,0.23183401059999997,1.021393025,0.5953078102,0.5708820836,1.19235573,1.6980794830000001,1.444130423,2.0224235680000002,0.666457379,2.095420494,0.6585505864,2.554888026,1.067749213,0.2299904143,0.05615450849,0.8971810278,0.536389428,0.6624977178,0.3628933885,0.609038661,0.26970952260000003,1.188181591,0.2862308832,1.7665230769999998,1.822939378,2.443909535,0.5530528937,2.294704404,0.8894998748,0.9559732706,0.6817137439000001,0.6924591129000001,1.133534302,0.7143776716,0.8313064872,0.6817137439000001,2,1.6981,1,1.103734996,1.1117671059999998,1.021393025,0.536389428,0.5953078102,0.3628933885,-21.399638743321198,0.31829,12435936378.3679,0.18742999999999999,7323093893.61115,12864855517.167,12864855517.167,5.732,1.0,0.2479,1.0,0.2522,22.5389619064852,21.0566066136334,20.3634622477872,20.0627989170953,19.787844652378897,22.460239055261102,20.638915468622198,19.3512661619097,19.138164819098698,21.334607376461,19.4237116554788,-19.8765377522128,2.17549965869798,9.75,-0.6,-10.35,8.4,722.115042266046,1549.64232885656,1826.4276906647901,833.424976715753,19.3661104375253,19.4659825066621,19.5993930715518,21.0206785755457,53.16867598975389,75.06015458819529,4.673702179690649,4.718229782371431,-1,8.388315329450618,8.454200013587517,5.31591469929644,5.373226529684516,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_15_10415_2D_EW.pdf,6.37,0.9153871698704285,0.9153871698704285
7,19787,16,aegis,2.109550404,0.7545070688,0.9568864104000001,1.157571179,3.3750000630000003,0.5255712316,7.408891079,5.678646668,6.540645574,3.2704514060000003,6.3137644129999995,5.793623658,2.422651948,0.9994621975,0.7771828489,0.05178149381,0.9191762903,0.4423782634,1.22155437,0.2543681274,2.798906316,1.6724483280000002,0.6510007455,0.2753472341,5.933841008,6.514683685,6.202837843999999,3.1918615569999997,8.704837471,8.647777404,3.9011723889999996,2.6882639160000004,3.73838636,3.977303475,2.588589588,5.44038,2.588589588,2,5.9338,1,1.137468046,1.1645889040000001,0.9191762903,0.4423782634,1.22155437,0.2543681274,-23.5751465325242,0.41778999999999994,121064455681.612,0.18742999999999999,54312240427.9771,95413104907.6326,95413104907.6326,5.682,1.0,0.4361,1.0,0.4625,22.7486493358734,21.0772092497216,20.254863553920398,19.8578712158719,19.515776573539,22.684958491105498,20.584933203500302,19.003904268057802,18.716429911600898,21.397601419675397,19.1022334454758,-21.2651364460796,2.49378578195297,10.63,-1.15,-11.78,8.6,867.433082538407,1231.01426959179,1756.64597845218,477.72665895391907,19.2480125530713,19.4179955567924,19.630908107948898,21.6277106094125,56.95344797885279,65.1766402633474,-4.498227323611088,-4.448020046754609,-1,9.297779902864871,9.509879028005743,6.554745919412461,6.746441978398246,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_16_19787_2D_EW.pdf,6.46,1.1062966502775107,1.1062966502775107
8,30005,19,aegis,1.305793478,0.2304279993,0.9730820523,0.6231446904,2.1500093419999997,0.282832597,2.83743695,0.5871683217,2.179986808,0.5424757801,1.868414571,0.8281454220000001,1.5841305380000001,0.5883210315,0.2592781676,0.08659771835,1.086361093,0.450101081,0.6284760446000001,0.2062939541,2.533442252,0.9112865148,0.2114350703,0.197971478,3.04282272,0.900182655,1.8665542380000002,0.8818218836,1.8684839469999999,0.9411367931999999,0.8055849629999999,0.6585437605,0.7219253215000001,0.9812047815,0.7448409614,0.7709376525,0.6585437605,2,1.8666,2,1.141437491,1.1497229009999999,0.9730820523,0.450101081,0.6231446904,0.2062939541,-20.777585744925602,0.40331999999999996,8885544710.041891,0.16994,3743948894.23911,6854267470.3805895,6854267470.3805895,4.067,1.0,0.2776,1.0,0.3134,23.5442136390059,22.0176061752884,21.335777176855302,20.9972548743835,20.6891792261452,23.4660005618139,21.5916941157881,20.345738423771802,20.0508684723022,22.3014498941257,20.383211092774502,-19.164222823144698,2.20843646215065,9.67,-1.42,-11.09,8.6,416.080907347358,556.506443456955,788.708291469094,377.404859576827,20.4013504488737,20.507827642501603,20.621929301713,22.090388766705605,29.5127465912956,28.4537081490501,-2.340038263551043,-2.3442749704019423,-1,11.536854748421053,11.710929036564922,9.937907174835255,10.10807926603761,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_19_30005_2D_EW.pdf,4.69,2.395339303887664,2.395339303887664
9,11221,28,aegis,2.071778497,0.5966040753,1.089748993,0.9753092870000001,2.0001228159999997,0.6628657542999999,9.046754089,1.924769591,6.00950743,0.9069291849,6.8953917460000005,1.351446863,2.141466781,0.9492645501000001,0.6044978819,0.04264510396000001,0.9713775354,0.6164796792,1.009720487,0.483882495,2.1471834469999997,0.8563193961,0.6312721139,0.2271432937,8.968376887,2.004947414,6.811186629,0.7530952515,8.437825557,1.36909526,2.5913302000000003,1.5601857069999998,1.9249677669999998,2.6108805459999997,1.649141279,2.23212273,1.5601857069999998,2,6.0095,2,1.138950911,1.160331902,1.089748993,0.6164796792,0.9753092870000001,0.483882495,-24.3097971509703,0.36965,210721850225.985,0.18742999999999999,106845925572.45,187701730314.663,187701730314.663,11.8,1.0,0.4337,2.0,-1.0,21.753369373435998,20.0510391579893,19.267765625084103,18.8901497119785,18.5400459691412,21.688121282586497,19.5837323047574,18.0577387875415,17.7990222685121,20.374266835492698,18.132022228829697,-22.2322343749159,2.48560374835188,10.98,-0.8,-11.78,8.6,764.4374856316921,1869.2796084344,3111.08747211899,701.882778517881,18.2323121525473,18.3843301832592,18.592548086598303,20.590789433544398,41.5037025114505,118.018207936741,-0.983188825073602,-0.9743376201221138,-1,10.554797355876861,10.816843296467939,3.3814311804163366,3.6019545208193087,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200712/CN_aegis_28_11221_2D_EW.pdf,7.28,0.6159347846750616,0.6159347846750616
