,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_chi2,min_2,alt_model,model,model_new,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,flux_ratio_AV_corr,SNR1,SNR2,flux_ratio_err_AV_corr,flux_ratio_err_AV_corr_2,fig_name,kron_radius,a_image,b_image,theta_J2000,FWHM
0,26380.0,1.0,aegis,2.8304245569999997,0.42637505200000003,1.129631475,0.7412847835,1.19096666,0.6287426666,14.87740364,2.21960226,14.01183406,1.057243771,14.44045434,0.889107822,3.716888937,1.189204191,0.3665548952,0.06967968357,0.9477732312999999,0.6345493255,0.8123427068,0.4969713658,0.9972282709,0.6148461357,1.01789013,0.4212491967,15.30776308,2.358809208,14.67306162,0.9854060572,33.13435563,0.8015162528,3.8513497439999997,3.179219661,3.189534518,3.995281965,3.276460841,6.781434062000001,3.179219661,3.189534518,3.0,2.0,0.0,1.099384731,1.114271494,1.129631475,0.6345493255,0.7412847835,0.4969713658,-21.604423342950398,0.31829,15017316413.2275,0.18742999999999999,8843179538.56934,15535268116.0233,15535268116.0233,6.546,1.0,0.264,2.0,-1.0,22.873303252848896,21.2702901649025,20.553543911377,20.2103730455182,19.873692945738497,22.7962316559512,20.829869635191,19.484197115336197,19.1915654765995,21.5645318773564,19.5168614405496,-19.826456088623,2.31975934147185,9.74,-99.0,-99.0,7.0,309.503181472679,1170.73670601356,1428.9787433864801,565.863207483631,19.5535532264454,19.657425369515604,19.7909165246374,21.313505913791897,1.12717687257502,45.8791637262959,54.5202411332471,0.03170556242080637,0.01936889300661676,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_1_26380_2D.pdf,3.5,15.57,11.42,38.8,4.93
1,14044.0,2.0,aegis,2.7626862739999996,0.4527159014,1.099093991,0.7983323242,1.644505034,0.6883621615,7.961912057999999,5.837547036,8.570029866,3.156279583,13.49523887,3.689304421,3.307623265,1.642904247,0.4272831656,0.2619004401,1.177450388,0.5182298601,0.7802419903,0.2218486288,0.9901384742,0.8697936973,1.029464228,0.5154787031,8.089815137,6.239651618,7.9819301320000005,3.481082581,62.52823887,3.248830919,4.077462461,3.032808353,4.2203065539999995,4.276671203,3.0594654869999998,13.5502655,3.032808353,3.0594654869999998,2.0,2.0,2.0,1.11672446,1.132550617,1.099093991,0.5182298601,0.7983323242,0.2218486288,-23.8518607306822,0.31829,119005569362.648,0.18742999999999999,70078274107.3898,123110106791.138,123110106791.138,9.935,1.0,0.436,1.0,0.4616,21.687977368905603,20.2066340959506,19.492934922842,19.2018027261957,18.869525374017,21.6147000776591,19.76252147195,18.4192997592819,18.206903775838,20.4893770369919,18.4564715935178,-22.017065077157998,2.19504244606357,10.77,0.23,-10.54,8.6,717.671668535635,2231.57919940347,2415.4949872498,621.6536380828869,18.5769349074432,18.7162604855527,18.895395075274898,20.7326894621923,1.14217682658659,79.0817869643343,97.7495392197454,0.018300784257911703,0.00913017136142973,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_2_14044_2D.pdf,3.5,13.91,13.25,7.6,5.85
2,19820.0,3.0,aegis,2.853989349,0.6830266295999999,1.1723197509999999,1.003098825,1.35605088,1.067616428,13.00665235,2.839933572,12.99861834,1.04510045,18.31207705,1.112173774,4.009705611,1.0244704,0.608488582,0.06420113639,1.180637596,0.7011789739,1.009543886,0.5070200973,1.22410504,0.7237143159,0.9543900811,0.4422890879,12.42082209,3.550742361,13.06210872,1.13405068,28.67335275,0.9005472163,3.757104574,2.977212777,4.038038769,3.951594313,3.028114393,5.958164822,2.977212777,3.028114393,2.0,2.0,2.0,1.09873283,1.122269731,1.1723197509999999,0.7011789739,1.003098825,0.5070200973,-24.1205775783313,0.31829,152424235536.051,0.18742999999999999,89757373673.449,157681392685.228,157681392685.228,8.046,1.0,0.4197,2.0,-1.0,21.9599219077002,20.291476747832302,19.476540915010702,19.0830930297831,18.743631786301698,21.8907186441174,19.8092820362577,18.260781519290898,17.9702049584117,20.6103966752696,18.312521246668698,-21.9534590849893,2.4833809926895403,10.69,-0.72,-11.41,8.2,961.333475849893,1998.22160942396,2748.0837117126903,754.970422869517,18.448836369340103,18.6136417321161,18.8261514704774,20.8114421096245,1.13299635278934,94.0328635885119,115.48531790000601,0.022392051556101782,0.018207009456033787,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_3_19820_2D.pdf,3.5,14.18,7.47,-41.0,7.82
3,26829.0,3.0,aegis,1.245305279,0.1324448958,0.9831867745999999,0.5485032477,1.208593223,0.3881114797,3.7102085280000003,0.437799513,3.1954699339999997,0.6109466149,2.8613475439999996,0.4370195242,1.507559233,0.5777614051,0.18103511079999998,0.09246217286,1.142325142,0.4714232896,0.5312240323,0.2544075395,1.428365732,0.5265577532,0.4301745477,0.3051740575,3.68103327,0.8747277287,2.7788143069999998,0.9921479254000001,5.385528155,0.7132093491,0.9102811878,0.8854174197,0.7451155689,1.094090597,0.9698218752,1.355017815,0.7451155689,0.8854174197,2.0,3.0,0.0,1.132149568,1.136856775,1.208593223,0.5265577532,0.3881114797,0.3051740575,-20.9050286457398,0.36965,9158032255.64257,0.18742999999999999,4643554675.16593,4643554675.16593,4643554675.16593,5.178,1.0,0.3996,3.0,-1.0,23.8092689762741,22.337713732017303,21.664554478843602,21.355253645379698,21.0956429836591,23.7340892409848,21.9420651757309,20.7433572419328,20.5068207581528,22.5964081078408,20.8030828339602,-19.6554455211564,2.14471449743042,9.59,-99.0,-99.0,7.0,200.840172814421,310.984441684332,453.6753054284449,171.569015061279,20.8781464074659,20.995919183787397,21.1338034375082,22.716961802821103,1.14600986314646,26.2408765183188,22.634044464406,0.07055777523112586,0.022913629112613,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_3_26829_2D.pdf,3.5,6.48,5.59,-1.7,6.19
4,37275.0,11.0,aegis,2.839301349,0.4268865318,1.263112293,0.7192777711,2.0000020640000002,0.4726488351,2.853624291,1.22293337,2.622810442,0.7603887662,1.567367923,0.7454477194,3.612049177,1.271605428,0.37172775469999997,0.08020250458,1.613754413,0.723038362,0.6384011201,0.424785308,2.308299585,0.9498094029,0.4163314267,0.3344560497,2.981642268,1.360317513,2.135904023,1.211903343,1.734836732,0.8370434931,1.0844285040000001,0.8390271916,0.6276076916,1.168863182,0.9402821591,0.6998465373,0.6276076916,0.6998465373,3.0,3.0,3.0,1.084933568,1.09928274,2.0000020640000002,0.9498094029,0.4726488351,0.3344560497,-21.410990730097698,0.57182,22576448973.5764,0.39832,15726366960.1535,15726366960.1535,15726366960.1535,6.819,1.0,0.304,2.0,-1.0,23.244466662750803,21.5774615811684,20.8213944363728,20.457579870118398,20.126557921952,23.170593073968302,21.111901019016,19.728562073295898,19.4445489402073,21.8894680597195,19.7616581050023,-19.8786055636273,2.42307222637809,9.95,-4.87,-14.83,8.2,267.950402406871,707.549557873643,1075.02764194719,364.528743466446,19.8445936806243,19.9259897097896,20.089762191085104,21.7420719774615,1.10009678864157,26.460759636886703,39.302473803853005,0.039086573600575825,0.016009754946013154,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_11_37275_2D.pdf,3.5,14.0,10.99,39.6,4.6
5,21300.0,14.0,aegis,2.83901515,0.3705227933,1.657096376,0.5714762314,1.278101204,0.7112976992,5.526682025,1.8584356830000002,4.136350093,1.78008357,4.760251885,1.003097525,4.067083257,1.025952856,0.2966114988,0.060903112999999995,1.735313197,0.6864902031,0.5513878532,0.2872557583,1.392352725,0.6868104529,0.6393200281,0.4276148929,5.714508724,2.123314579,4.061578282,1.8347482919999998,51.93847769,1.575665622,1.879055273,1.575110408,1.359315345,2.030391566,1.58429704,10.76843081,1.359315345,1.575110408,2.0,3.0,0.0,1.094843885,1.107577735,1.278101204,0.6868104529,0.7112976992,0.4276148929,-21.991683248596896,0.36965,24915178903.5854,0.31651999999999997,21334106388.6456,21334106388.6456,21334106388.6456,5.645,1.0,0.2161,3.0,-1.0,21.791045949942102,20.2723696014647,19.5984235663428,19.303327451047398,19.0079809228887,21.710955671340102,19.8554735220729,18.5892552947123,18.368216822929302,20.557718825335698,18.649614450603103,-20.3315764336572,2.19262238359926,10.0,-0.9,-10.9,8.4,987.9808929293021,2549.0739559102,3171.30553613887,1800.8681977690799,18.555607771716602,18.666324858798898,18.790645311402198,20.170387999752396,1.11880486380654,86.40808320350371,117.28521700578199,0.01999799363139139,0.015534076685570705,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_14_21300_2D.pdf,3.5,12.65,10.72,-85.9,5.41
6,10415.0,15.0,aegis,2.385775341,0.24066621859999998,1.083305829,0.5833503988,1.356062995,0.6513469068,2.0367413340000002,1.557834716,2.166322613,0.7435097359,3.169009603,1.013513838,2.782739087,1.081427238,0.2261897121,0.05418771742,1.138161699,0.5528727839,0.5729223212,0.3255371263,1.435947556,0.7073998675,0.5134117857,0.4074165291,3.307493365,2.167061254,2.025005557,0.822302655,3.408881042,1.081628588,1.071040873,0.7430691641,1.054853309,1.581980747,0.7497976143,1.13096834,0.7430691641,0.7497976143,2.0,2.0,2.0,1.103734996,1.11207426,1.083305829,0.5528727839,0.5833503988,0.3255371263,-21.399638743321198,0.31829,12435936378.3679,0.18742999999999999,7323093893.61115,12864855517.167,12864855517.167,5.732,1.0,0.2479,1.0,0.2522,22.5389619064852,21.0566066136334,20.3634622477872,20.0627989170953,19.787844652378897,22.460239055261102,20.638915468622198,19.3512661619097,19.138164819098698,21.334607376461,19.4237116554788,-19.8765377522128,2.17549965869798,9.75,-0.6,-10.35,8.4,722.115042266046,1549.64232885656,1826.4276906647901,833.424976715753,19.3661104375253,19.4659825066621,19.5993930715518,21.0206785755457,1.12200312815452,53.16867598975389,75.06015458819529,0.023481353453217977,0.01307345589812906,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_15_10415_2D.pdf,3.5,8.74,6.94,-16.6,6.37
7,19787.0,16.0,aegis,2.426723243,0.7669004744,0.9982944025,1.157379978,3.375008254,0.5135328867,8.997246321,6.188114991,8.176647006,3.265346101,7.871795251,5.464325101,2.985377053,1.093683117,0.7680056228,0.07130704434,0.9854011614,0.5011484741,1.192067065,0.3672396611,2.777437396,1.6627837619999999,0.6542721861,0.2726924137,10.00492825,6.609192237,7.483129699,4.304771981,8.560337828,8.07957277,4.430522505,3.0037201739999997,3.898115858,4.808789614,3.31980505,5.165919113,3.0037201739999997,3.31980505,2.0,2.0,2.0,1.137468046,1.165039753,0.9982944025,0.5011484741,1.157379978,0.3672396611,-23.5751465325242,0.41778999999999994,121064455681.612,0.18742999999999999,54312240427.9771,95413104907.6326,95413104907.6326,5.682,1.0,0.4361,1.0,0.4625,22.7486493358734,21.0772092497216,20.254863553920398,19.8578712158719,19.515776573539,22.684958491105498,20.584933203500302,19.003904268057802,18.716429911600898,21.397601419675397,19.1022334454758,-21.2651364460796,2.49378578195297,10.63,-1.15,-11.78,8.6,867.433082538407,1231.01426959179,1756.64597845218,477.72665895391907,19.2480125530713,19.4179955567924,19.630908107948898,21.6277106094125,1.17846527336698,56.95344797885279,65.1766402633474,0.028702835164658283,0.015338352204645474,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_16_19787_2D.pdf,3.5,9.36,5.99,-18.6,6.46
8,30005.0,19.0,aegis,1.317480107,0.2333256116,0.9417547999,0.6607968377,2.150024348,0.2829539979,3.300066264,0.5909807741,1.6984095430000001,0.4984049537,1.196035934,0.828921663,1.615215182,0.6071437955,0.2545366485,0.0886241326,1.07875607,0.448365137,0.6275356103,0.23694584929999998,2.318451016,0.9419188658,0.2600534398,0.2046971444,3.4310856239999996,0.9126968295000001,1.319685692,0.8394829116,0.9676211873,1.082332888,0.8970691729,0.545922239,0.5917029807,1.062022425,0.620292542,0.6572427211,0.545922239,0.5917029807,3.0,2.0,0.0,1.141437491,1.1498274720000001,0.9417547999,0.448365137,0.6607968377,0.23694584929999998,-20.777585744925602,0.40331999999999996,8885544710.041891,0.16994,3743948894.23911,6854267470.3805895,6854267470.3805895,4.067,1.0,0.2776,1.0,0.3134,23.5442136390059,22.0176061752884,21.335777176855302,20.9972548743835,20.6891792261452,23.4660005618139,21.5916941157881,20.345738423771802,20.0508684723022,22.3014498941257,20.383211092774502,-19.164222823144698,2.20843646215065,9.67,-1.42,-11.09,8.6,416.080907347358,556.506443456955,788.708291469094,377.404859576827,20.4013504488737,20.507827642501603,20.621929301713,22.090388766705605,1.16483153600508,29.5127465912956,28.4537081490501,0.05563355690950086,0.018678063010561227,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_19_30005_2D.pdf,3.5,6.08,5.38,-63.5,4.69
9,11221.0,28.0,aegis,2.585993513,0.6180865632,1.212838772,0.9418193798000001,2.2000013309999997,0.6073230069,12.79338476,2.469743585,8.119140607,1.167297211,7.94412027,1.414842569,3.421396638,1.000539678,0.5854035573,0.05480195263,1.386323217,0.4580231962,0.8936400096,0.1394738907,1.825889991,1.188229953,0.7776076592,0.470945486,14.2734727,3.180574128,7.701068234,1.667762595,14.39038445,1.415791493,3.555160006,2.082732161,2.156096007,4.150808344,2.2185805469999997,3.408209292,2.082732161,2.156096007,3.0,2.0,0.0,1.138950911,1.161109244,1.212838772,0.4580231962,0.9418193798000001,0.1394738907,-24.3097971509703,0.36965,210721850225.985,0.18742999999999999,106845925572.45,187701730314.663,187701730314.663,11.8,1.0,0.4337,2.0,-1.0,21.753369373435998,20.0510391579893,19.267765625084103,18.8901497119785,18.5400459691412,21.688121282586497,19.5837323047574,18.0577387875415,17.7990222685121,20.374266835492698,18.132022228829697,-22.2322343749159,2.48560374835188,10.98,-0.8,-11.78,8.6,764.4374856316921,1869.2796084344,3111.08747211899,701.882778517881,18.2323121525473,18.3843301832592,18.592548086598303,20.590789433544398,1.17212895812348,41.5037025114505,118.018207936741,0.014933877647005336,0.00651289834260374,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200410/CN_20200514_aegis_28_11221_2D.pdf,3.5,26.63,11.01,-31.4,7.28
