age,CN
0.0001,1.2276662524365802
0.0002,1.2279722556583934
0.0004,1.228355482487267
0.0006,1.228992985680793
0.0008,1.2287772307094305
0.001,1.2292771687440776
0.0015,1.229877510538554
0.002,1.2300944882880505
0.0025,1.2304384850334316
0.003,1.2284204047200475
0.0035,1.2281089550054736
0.004,1.2269789030723663
0.0045,1.2266406481186771
0.005,1.2258262063027987
0.0055,1.2253859738680435
0.006,1.2250418486065202
0.0065,1.224238597302871
0.007,1.2234230624166686
0.0075,1.222909745977411
0.008,1.222294006942086
0.0085,1.221580203403103
0.009,1.2211020543754096
0.0095,1.2206505331361186
0.01,1.2202607680695339
0.015,1.2162226717378795
0.02,1.2139468756107539
0.025,1.2118449179346646
0.03,1.1552535866783025
0.035,1.1511317494784516
0.04,1.1480758064395415
0.045,1.1450305847290465
0.05,1.1424081220250901
0.055,1.1400292371717249
0.06,1.1378355903770894
0.065,1.1378262393803449
0.07,1.137795450237198
0.075,1.1377584705159438
0.08,1.1377197581905982
0.085,1.1377452110573663
0.09,1.1377685846825139
0.095,1.1377406758147839
0.1,1.1377404820598576
0.2,1.1266098028120777
0.3,1.1387170124132688
0.4,1.1472587068510534
0.5,1.1485905851307983
0.6,1.149571051666694
0.7,1.1506467038604091
0.8,1.1518549030766927
0.9,1.1500755636924564
1.0,1.1484714997959031
1.5,1.1330670123993511
2.0,1.1228819657576736
3.0,1.0974098617501524
4.0,1.0965986269599006
5.0,1.0962803221269957
6.0,1.0960226724000268
7.0,1.0961553739931909
8.0,1.0962687254666834
9.0,1.096264515234377
10.0,1.0961921751921517
11.0,1.0961117831401133
12.0,1.0958456732917055
13.0,1.0957705564598832
14.0,1.0955605915330882
15.0,1.095520672569068
