age,CN
0.0,1.2237428243668174
0.0001,1.2237428243668174
0.00014125,1.22374283342716
0.00015849,1.22374283342716
0.00017783,1.2237428328208466
0.00019953,1.223742835085218
0.00022387,1.2237428410455702
0.00025119,1.2237428493654228
0.00028184,1.2237428498807759
0.00031623,1.2237428502568033
0.00035482,1.2237428803283323
0.00039811,1.223742897864946
0.00044669,1.2237429010179783
0.00050119,1.223742881579976
0.00056234,1.22374288564349
0.00063096,1.2237428866171498
0.00070795,1.223742894022068
0.00079433,1.2237428778837753
0.00089126,1.2237428054404256
0.001,1.2238449501976167
0.0010471,1.2239444214468813
0.0010965,1.2240496839054074
0.0011482,1.2241611929063516
0.0012023,1.2243393756482812
0.0012589,1.2245493111208605
0.0013183,1.2247641588613218
0.0013804,1.2249849566525708
0.0014454,1.2252131665950994
0.0015136,1.2254507900955276
0.0015849,1.225697763699258
0.0016596,1.2259549517720514
0.0017378,1.2261848300097251
0.0018197,1.2263499583362656
0.0019055,1.2265359144247623
0.0019953,1.2267423623986504
0.0020893,1.2269783878996563
0.0021878,1.227244263763077
0.0022909,1.2275385580962044
0.0023988,1.228387122703516
0.0025119,1.22949835107992
0.0026303,1.229955067839263
0.0027542,1.2304909360095033
0.002884,1.2309334163400152
0.00302,1.2304377231426948
0.0031623,1.2303073309957304
0.0033113,1.2292864874112943
0.0034674,1.2272589068588318
0.0036308,1.2247506175705007
0.0038019,1.222537804356841
0.0039811,1.2210385001396953
0.0041687,1.219861878025555
0.0043652,1.2191517819283995
0.0045709,1.217984702614278
0.0047863,1.212749775198295
0.0050119,1.201018471770932
0.0052481,1.185208918765026
0.0054954,1.1676744002267614
0.0057544,1.1599359947342767
0.0060256,1.1650787230133683
0.0063096,1.1655517376525706
0.0066069,1.166656383105414
0.0069183,1.1667001466237645
0.0072444,1.165560388409999
0.0075858,1.1631874116590843
0.0079433,1.1596300070172483
0.0083176,1.1550466764891338
0.0087096,1.149308431335241
0.0091201,1.160887303809479
0.0095499,1.1657703311430234
0.01,1.1716885864043365
0.010471,1.176705206802284
0.010965,1.180509969604269
0.011482,1.1826439841027094
0.012023,1.1825455472501634
0.012589,1.1788344256347012
0.013182,1.173819823663371
0.013804,1.1701817256370934
0.014454,1.1667152755099928
0.015136,1.1637679288603333
0.015849,1.1614218201541004
0.016596,1.159777339014879
0.017378,1.158958361814468
0.018197,1.1577001605186323
0.019055,1.1592480300660162
0.019953,1.1584526056347155
0.020893,1.1576027804278266
0.021878,1.1567237123073686
0.022909,1.1558239871055354
0.023988,1.1548905617778278
0.025119,1.1539200303870911
0.026303,1.1529029396555548
0.027542,1.151819557010553
0.029,1.1505020374940313
0.03,1.1494118816203742
0.031,1.149598565109871
0.032,1.150120359663062
0.033,1.1494685831348543
0.034,1.1488531580694992
0.035,1.148258886452346
0.036,1.1476849038579993
0.037,1.147129727295113
0.038,1.1465967175291998
0.039,1.1460780268663406
0.04,1.1455694049798724
0.0425,1.1443674253376448
0.045,1.1432560792861657
0.0475,1.1422203586034574
0.05,1.1411229724539333
0.0525,1.1417018264902372
0.055,1.1409659207934264
0.057088,1.1400944132644295
0.064054,1.1372909953194066
0.07187,1.1357731359635528
0.080639,1.1361467751402572
0.090478,1.136115272136682
0.10152,1.1366909073659932
0.11391,1.1381028441448267
0.1278,1.1361946511056837
0.1434,1.136397134435789
0.1609,1.137491510404366
0.18053,1.1399997773090735
0.20256,1.1396515490434422
0.22727,1.1372621914202667
0.255,1.1351228652745657
0.28612,1.1337878172504452
0.321030016,1.1335246703230495
0.3602,1.1348814515670436
0.404150016,1.1358330297289778
0.453470016,1.1347303015387298
0.5088,1.1326305775677956
0.57088,1.1311560294239449
0.640540032,1.1309441977991033
0.718700032,1.1306415764698783
0.8064,1.1298093885902376
0.904790016,1.1261306918792489
1.0152,1.121005505071153
1.13910003,1.115826894025696
1.27809997,1.1167157275964597
1.434,1.1157942872984468
1.60899994,1.1152981502899137
1.68,1.1149906607718827
1.7,1.1148986347044785
1.8,1.1143043933512513
1.9,1.1137932790585598
2.0,1.1133558866644004
2.1,1.1129944132177818
2.2,1.1127249912179387
2.3,1.1125376183473719
2.4,1.112447117357445
2.5,1.1119494669356076
2.6,1.1118310974522823
2.75000013,1.1114342511110735
3.0,1.1103217859268661
3.24999987,1.1098798630765982
3.5,1.1099430968136972
3.75000013,1.1096898052183584
4.0,1.10962731621441
4.24999987,1.109538799019496
4.49999974,1.1094163666969543
4.75000013,1.1092975308901336
5.0,1.1091881257668796
5.24999987,1.1090631392055479
5.50000026,1.1089153930916205
5.75000013,1.10874361908448
6.0,1.1085432418515864
6.24999987,1.1083293847099194
6.49999974,1.1082582147183346
6.75000013,1.108242235204271
7.0,1.1082275741276646
7.24999987,1.1082126632281661
7.50000026,1.1081953638093747
7.75000013,1.1081737426146874
8.0,1.108149933157846
8.24999987,1.1081226883933324
8.49999974,1.1080966744902938
8.75000013,1.1080707789502315
8.99999949,1.108042806870647
9.24999987,1.1080148045498477
9.50000026,1.107985346487523
9.74999962,1.1079586289256282
10.0,1.1079327100817111
10.2500004,1.1079058622969302
10.4999997,1.1078774094616566
10.7500001,1.1078468564917596
11.0000005,1.1078163216355965
11.2499999,1.1077852036724767
11.5000003,1.1077533832464916
11.7499996,1.1077197686762912
12.0,1.107684357471512
12.2500004,1.1076530794235646
12.4999997,1.10761410450759
12.7500001,1.1075666602145584
12.9999995,1.1075291747692653
13.2499999,1.1074915565863845
13.5000003,1.1074538077151224
13.7499996,1.1074195154745934
14.0,1.1073856729224003
14.2500004,1.107352358184031
14.4999997,1.1073192510926604
14.7500001,1.107286392518904
15.0000005,1.1072572541377308
15.2499999,1.1072289466369012
15.5000003,1.107201675411055
15.7499996,1.107174391935873
16.0,1.1071477679480037
16.2500004,1.1071237497283313
16.4999997,1.1071003936824253
16.7500001,1.1070773575620256
16.9999995,1.1070542773541818
17.2500009,1.1070328094885395
17.5000003,1.1070135421281855
17.7499996,1.1069942001828552
17.999999,1.106974002621658
18.2500004,1.1069520910362451
18.4999997,1.1069280437728395
18.7499991,1.1069156379777774
19.0000005,1.106897424144755
19.2499999,1.1068942877239336
19.4999992,1.106891001761901
19.7500006,1.106889801004611
20.0,1.1068884849117857
